URL,Title,Provider,Image_Path
https://stake.us/casino/games/titan-gaming-maximus,Maximus,Titan Gaming,images/titan-gaming-maximus.jpg
https://stake.us/casino/games/pragmatic-play-sweet-bonanza-1000,Sweet Bonanza 1000,Pragmatic Play,images/pragmatic-play-sweet-bonanza-1000.jpg
https://stake.us/casino/games/pragmatic-play-gates-of-olympus-1000,Gates of Olympus 1000,Pragmatic Play,images/pragmatic-play-gates-of-olympus-1000.jpg
https://stake.us/casino/games/hacksaw-le-viking,Le Viking,Hacksaw Gaming,images/hacksaw-le-viking.jpg
https://stake.us/casino/games/pragmatic-play-brick-house-bonanza,Brick House Bonanza,Pragmatic Play,images/pragmatic-play-brick-house-bonanza.jpg
https://stake.us/casino/games/pragmatic-play-sugar-rush-1000,Sugar Rush 1000,Pragmatic Play,images/pragmatic-play-sugar-rush-1000.jpg
https://stake.us/casino/games/hacksaw-wanted-dead-or-a-wild,Wanted Dead or a Wild,Hacksaw Gaming,images/hacksaw-wanted-dead-or-a-wild.jpg
https://stake.us/casino/games/hacksaw-duel-at-dawn,Duel at Dawn,Hacksaw Gaming,images/hacksaw-duel-at-dawn.jpg
https://stake.us/casino/games/pragmatic-play-big-bass-boom,Big Bass BOOM Enhanced RTP,Pragmatic Play,images/pragmatic-play-big-bass-boom.jpg
https://stake.us/casino/games/pragmatic-play-fire-stampede,Fire Stampede,Pragmatic Play,images/pragmatic-play-fire-stampede.jpg
https://stake.us/casino/games/pragmatic-play-wild-wildebeest-wins,Wild Wildebeest Wins,Pragmatic Play,images/pragmatic-play-wild-wildebeest-wins.jpg
https://stake.us/casino/games/hacksaw-sixsixsix,SixSixSix,Hacksaw Gaming,images/hacksaw-sixsixsix.jpg
https://stake.us/casino/games/peterandsons-barbarossa-revenge,Barbarossa Revenge,Peter &amp; Sons,images/peterandsons-barbarossa-revenge.jpg
https://stake.us/casino/games/pragmatic-play-bigger-bass-splash,Bigger Bass Splash,Pragmatic Play,images/pragmatic-play-bigger-bass-splash.jpg
https://stake.us/casino/games/massive-jawsome,Jawsome,Massive Studios,images/massive-jawsome.jpg
